plate_number,entry_time,exit_time,duration_hr,amount,payment_status
RAH792U,2025-05-07T11:52:35,2025-05-07T13:12:50.650274,1.34,268,1
RAH792U,2025-05-07T11:52:35,2025-05-07T13:18:01.057053,1.42,284,1
